date,insta_handle,likes,likes_nan,momentum_absolute,momentum_relative,date_string,percentile_rma,percentile_relmomentum
2022-03-02 00:00:00+00:00,jordan_poole,4113.233333333334,92547.75,-11221.916666666672,-0.10814255289760338,2022-03-02 ,6.194084833175455,19.74002736554047
2022-03-03 00:00:00+00:00,jordan_poole,4113.233333333334,92547.75,-11221.916666666672,-0.10814255289760338,2022-03-03 ,6.194084833175455,19.74002736554047
2022-03-04 00:00:00+00:00,jordan_poole,4113.233333333334,92547.75,-11221.916666666672,-0.10814255289760338,2022-03-04 ,6.194084833175455,19.74002736554047
2022-03-05 00:00:00+00:00,jordan_poole,4113.233333333334,92547.75,-11221.916666666672,-0.10814255289760338,2022-03-05 ,6.194084833175455,19.74002736554047
2022-03-06 00:00:00+00:00,jordan_poole,4113.233333333334,92547.75,-11221.916666666672,-0.10814255289760338,2022-03-06 ,6.194084833175455,19.74002736554047
2022-03-07 00:00:00+00:00,jordan_poole,4113.233333333334,92547.75,-11221.916666666672,-0.10814255289760338,2022-03-07 ,6.194084833175455,19.74002736554047
2022-03-08 00:00:00+00:00,jordan_poole,4113.233333333334,92547.75,-11221.916666666672,-0.10814255289760338,2022-03-08 ,6.194084833175455,19.74002736554047
2022-03-09 00:00:00+00:00,jordan_poole,4113.233333333334,92547.75,-11221.916666666672,-0.10814255289760338,2022-03-09 ,6.194084833175455,19.74002736554047
2022-03-10 00:00:00+00:00,jordan_poole,4113.233333333334,92547.75,-9571.25,-0.09372643680412068,2022-03-10 ,6.194084833175455,21.897694979475844
2022-03-11 00:00:00+00:00,jordan_poole,4113.233333333334,92547.75,-9571.25,-0.09372643680412068,2022-03-11 ,6.194084833175455,21.897694979475844
2022-03-12 00:00:00+00:00,jordan_poole,3147.2,94416.0,-7703.0,-0.07543160430478167,2022-03-12 ,6.562467108725397,24.739501105146825
2022-03-13 00:00:00+00:00,jordan_poole,3147.2,94416.0,-7703.0,-0.07543160430478167,2022-03-13 ,6.562467108725397,24.739501105146825
